,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
Release date,1.0,0.7882343813633058,0.750016033534685,0.7902628550070575,-0.07161165342989356,0.1930197119290912,-0.07488686534553317,-0.25349063730436194,0.213092772634043,-0.2596805175562932,-0.2488767876424742,-0.022522217044592792
Max resolution,0.7882343813633058,1.0,0.8427902099798612,0.9538458570187706,-0.3739583043094901,0.06937709963328842,-0.20044869403379253,-0.3473012164726409,0.16622225815299577,0.10667804514556353,-5.660724122627868e-05,0.18420092652935713
Low resolution,0.750016033534685,0.8427902099798612,1.0,0.8203218771548003,-0.2064770056838074,0.15478455618886433,-0.12543611622804532,-0.31578689603569826,0.15665175981388785,-0.04492655094505983,-0.10558457301320431,0.15420406063216538
Effective pixels,0.7902628550070575,0.9538458570187706,0.8203218771548003,1.0,-0.328514362473013,0.08464395630857131,-0.193252402278991,-0.32193001207182,0.15784434522016366,0.07819819376678146,-0.004076899163273478,0.19028400756506597
Zoom wide (W),-0.07161165342989356,-0.3739583043094901,-0.2064770056838074,-0.328514362473013,1.0,0.36464729783718086,0.5385104811796144,0.2933308446150044,0.15096796617879107,-0.6987817953605919,-0.48654167675049276,-0.4591033999208599
Zoom tele (T),0.1930197119290912,0.06937709963328842,0.15478455618886433,0.08464395630857131,0.36464729783718086,1.0,0.16764148806613174,-0.07455413552569506,0.1140749817812591,-0.06590408941503868,-0.11817082150211554,-0.18948005456793585
Normal focus range,-0.07488686534553317,-0.20044869403379253,-0.12543611622804532,-0.193252402278991,0.5385104811796144,0.16764148806613174,1.0,0.3978316232841338,0.15960485012397282,-0.3933585417587328,-0.23710752166664262,-0.27385393615399717
Macro focus range,-0.25349063730436194,-0.3473012164726409,-0.31578689603569826,-0.32193001207182,0.2933308446150044,-0.07455413552569506,0.3978316232841338,1.0,-0.04376885705123875,-0.2105541755674494,-0.09033581605114459,-0.12757671236241522
Storage included,0.213092772634043,0.16622225815299577,0.15665175981388785,0.15784434522016366,0.15096796617879107,0.1140749817812591,0.15960485012397282,-0.04376885705123875,1.0,-0.155568451869708,-0.11428012210595649,-0.10304586691960008
Weight (inc. batteries),-0.2596805175562932,0.10667804514556353,-0.04492655094505983,0.07819819376678146,-0.6987817953605919,-0.06590408941503868,-0.3933585417587328,-0.2105541755674494,-0.155568451869708,1.0,0.6778848089757021,0.4647603545816333
Dimensions,-0.2488767876424742,-5.660724122627868e-05,-0.10558457301320431,-0.004076899163273478,-0.48654167675049276,-0.11817082150211554,-0.23710752166664262,-0.09033581605114459,-0.11428012210595649,0.6778848089757021,1.0,0.2642561651698723
Price,-0.022522217044592792,0.18420092652935713,0.15420406063216538,0.19028400756506597,-0.4591033999208599,-0.18948005456793585,-0.27385393615399717,-0.12757671236241522,-0.10304586691960008,0.4647603545816333,0.2642561651698723,1.0
