,Product_id,Price,Sale,weight,resoloution,ppi,cpu core,cpu freq,internal mem,ram,RearCam,Front_Cam,battery,thickness
Product_id,1.0,0.16513581155352028,0.21854821533332355,0.03586899691928684,-0.017817432912394335,0.20727057281431147,-0.008634003001588645,0.09242797754475525,0.26118642672589787,0.23619442663755336,0.17281167523671154,0.07102020670631161,0.03174485608968647,0.03980715970715029
Price,0.16513581155352028,1.0,0.2732625202250552,0.14455511688815237,0.4040095615845289,0.8176144510260609,0.6868106446685591,0.7273828277036033,0.7767377697424782,0.8969150716315669,0.7395375675914838,0.6752864099427016,0.5599456899956516,-0.7167730617409211
Sale,0.21854821533332355,0.2732625202250552,1.0,0.016114461625273798,0.017154183072149092,0.23589645731668674,0.06951745114571786,0.09913281512560526,0.4893080229989697,0.3731266738510231,0.2921643178141929,0.4372332224588798,0.12033836593460119,-0.047990948315410224
weight,0.03586899691928684,0.14455511688815237,0.016114461625273798,1.0,0.8904164972070923,-0.054682633430298964,0.216257282577504,0.22272991830620475,0.09884925566755179,0.14928326393380914,-0.029448189829353714,-0.005970849049767852,0.8337826662045407,-0.18526238434715045
resoloution,-0.017817432912394335,0.4040095615845289,0.017154183072149092,0.8904164972070923,1.0,0.18129159360594987,0.47222590602706704,0.505453800995199,0.202659505345841,0.32721632334678835,0.24989196956485968,0.20272022672064116,0.8434617644208977,-0.5337078626998631
ppi,0.20727057281431147,0.8176144510260609,0.23589645731668674,-0.054682633430298964,0.18129159360594987,1.0,0.4879901381382296,0.7131682998757294,0.618559597737831,0.7487244741573965,0.774008112408253,0.4913706595532265,0.30251666646284997,-0.4967907935445935
cpu core,-0.008634003001588645,0.6868106446685591,0.06951745114571786,0.216257282577504,0.47222590602706704,0.4879901381382296,1.0,0.4915189952088342,0.2762508186548175,0.48312751011800836,0.6113526317354648,0.5866983816416331,0.4597284366826952,-0.6979354739135368
cpu freq,0.09242797754475525,0.7273828277036033,0.09913281512560526,0.22272991830620475,0.505453800995199,0.7131682998757294,0.4915189952088342,1.0,0.4414001103954829,0.6335474861902907,0.625104071086743,0.35831903377954416,0.4731368868898437,-0.6144582725219352
internal mem,0.26118642672589787,0.7767377697424782,0.4893080229989697,0.09884925566755179,0.202659505345841,0.618559597737831,0.2762508186548175,0.4414001103954829,1.0,0.8753535657822519,0.451916648761052,0.555733369502316,0.461505657375827,-0.36741159615755253
ram,0.23619442663755336,0.8969150716315669,0.3731266738510231,0.14928326393380914,0.32721632334678835,0.7487244741573965,0.48312751011800836,0.6335474861902907,0.8753535657822519,1.0,0.6480731563018348,0.6474697742469775,0.5410010767627749,-0.5210735736141066
RearCam,0.17281167523671154,0.7395375675914838,0.2921643178141929,-0.029448189829353714,0.24989196956485968,0.774008112408253,0.6113526317354648,0.625104071086743,0.451916648761052,0.6480731563018348,1.0,0.5963736917622517,0.28782141973403885,-0.5509979322286918
Front_Cam,0.07102020670631161,0.6752864099427016,0.4372332224588798,-0.005970849049767852,0.20272022672064116,0.4913706595532265,0.5866983816416331,0.35831903377954416,0.555733369502316,0.6474697742469775,0.5963736917622517,1.0,0.29528337225880247,-0.493541690729372
battery,0.03174485608968647,0.5599456899956516,0.12033836593460119,0.8337826662045407,0.8434617644208977,0.30251666646284997,0.4597284366826952,0.4731368868898437,0.461505657375827,0.5410010767627749,0.28782141973403885,0.29528337225880247,1.0,-0.41268184945569947
thickness,0.03980715970715029,-0.7167730617409211,-0.047990948315410224,-0.18526238434715045,-0.5337078626998631,-0.4967907935445935,-0.6979354739135368,-0.6144582725219352,-0.36741159615755253,-0.5210735736141066,-0.5509979322286918,-0.493541690729372,-0.41268184945569947,1.0
